
Frank Gore
WK Game Date Opp Result G GS Att Yds Avg Lng TD Rec Yds Avg Lng TD FUM Lost
1 09/12 @SEA L   6-31 1 1 17 38 2.2 10 0 6 45 7.5 23 0 -- --
2 09/20 NO L   22-25 1 1 20 112 5.6 20 1 7 56 8.0 18 1 1 0
3 09/26 @KC L   10-31 1 1 15 43 2.9 6 0 9 102 11.3 41 0 -- --
4 10/03 @ATL L   14-16 1 1 21 77 3.7 13 0 7 60 8.6 19 0 1 0
5 10/10 PHI L   24-27 1 1 18 52 2.9 16 0 4 21 5.3 11 1 2 2
6 10/17 OAK W   17-9 1 1 25 149 6.0 64 0 0 0 -- -- 0 -- --
7 10/24 @CAR L   20-23 1 1 19 102 5.4 20 0 4 57 14.3 22 0 -- --
8 10/31 DEN W   24-16 1 1 29 118 4.1 21 1 1 7 7.0 7 0 -- --
TOTAL 8 8 164 691 4.2 64 2 38 348 9.2 41 2 4 2
