
Donovan McNabb
WK Game Date Opp Result G GS Comp Att Pct Yds Avg TD Int Sck SckY Rate Att Yds Avg TD FUM Lost
1 09/12 DAL W   13-7 1 1 15 32 46.9 171 5.3 0 0 1 10 63.4 1 17 17.0 0 -- --
2 09/19 HOU L   27-30 1 1 28 38 73.7 426 11.2 1 0 3 23 119.0 -- -- -- -- -- --
3 09/26 @STL L   16-30 1 1 19 32 59.4 236 7.4 1 1 1 3 79.7 2 25 12.5 0 -- --
4 10/03 @PHI W   17-12 1 1 8 19 42.1 125 6.6 1 1 1 1 60.2 5 39 7.8 0 -- --
5 10/10 GB W   16-13 1 1 26 49 53.1 357 7.3 1 1 5 35 75.0 4 10 2.5 0 1 0
6 10/17 IND L   24-27 1 1 29 45 64.4 246 5.5 1 2 3 24 67.5 2 1 0.5 0 -- --
7 10/24 @CHI W   17-14 1 1 17 32 53.1 200 6.3 1 2 2 13 56.8 5 -2 -0.4 0 2 0
8 10/31 @DET L   25-37 1 1 17 30 56.7 210 7.0 1 1 6 46 75.7 4 45 11.3 0 1 0
TOTAL 8 8 159 277 57.4 1,971 7.1 7 8 22 155 76.0 23 135 5.9 0 4 0
